match_no,date,venue,stage,team1,team2,toss_winner,toss_decision,innings,batting_team,bowling_team,over,phase,runs_in_over,wickets_in_over,fours,sixes,bowlers,batsmen,main_batter,cumulative_runs,cumulative_wkts,score_after_over,over_summary,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_result,match_winner,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure
1,"Mar 22, 2025","Eden Gardens, Kolkata",League,KKR,RCB,RCB,Bowl,1,KKR,RCB,1,Powerplay,4,1,1,0,Hazlewood,"Rahane, de Kock",de Kock,4,1,4/1,"4 runs, 1 wicket(s)",174.0,8.0,177.0,3.0,completed,RCB,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29
1,"Mar 22, 2025","Eden Gardens, Kolkata",League,KKR,RCB,RCB,Bowl,1,KKR,RCB,2,Powerplay,1,0,0,0,Yash Dayal,"Narine, Rahane",Narine,5,1,5/1,"1 runs, 0 wicket(s)",174.0,8.0,177.0,3.0,completed,RCB,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29
1,"Mar 22, 2025","Eden Gardens, Kolkata",League,KKR,RCB,RCB,Bowl,1,KKR,RCB,3,Powerplay,4,0,1,0,Hazlewood,Narine,Narine,9,1,9/1,"4 runs, 0 wicket(s)",174.0,8.0,177.0,3.0,completed,RCB,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29
1,"Mar 22, 2025","Eden Gardens, Kolkata",League,KKR,RCB,RCB,Bowl,1,KKR,RCB,4,Powerplay,16,0,1,2,Rasikh Salam,Rahane,Rahane,25,1,25/1,"16 runs, 0 wicket(s)",174.0,8.0,177.0,3.0,completed,RCB,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29
1,"Mar 22, 2025","Eden Gardens, Kolkata",League,KKR,RCB,RCB,Bowl,1,KKR,RCB,5,Powerplay,15,0,2,1,Krunal Pandya,"Narine, Rahane",Rahane,40,1,40/1,"15 runs, 0 wicket(s)",174.0,8.0,177.0,3.0,completed,RCB,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29
1,"Mar 22, 2025","Eden Gardens, Kolkata",League,KKR,RCB,RCB,Bowl,1,KKR,RCB,6,Powerplay,20,0,3,1,Yash Dayal,"Narine, Rahane",Rahane,60,1,60/1,"20 runs, 0 wicket(s)",174.0,8.0,177.0,3.0,completed,RCB,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29
1,"Mar 22, 2025","Eden Gardens, Kolkata",League,KKR,RCB,RCB,Bowl,1,KKR,RCB,7,Middle,5,0,1,0,Suyash Sharma,Rahane,Rahane,65,1,65/1,"5 runs, 0 wicket(s)",174.0,8.0,177.0,3.0,completed,RCB,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29
1,"Mar 22, 2025","Eden Gardens, Kolkata",League,KKR,RCB,RCB,Bowl,1,KKR,RCB,8,Middle,9,0,1,0,Rasikh Salam,"Narine, Rahane",Narine,74,1,74/1,"9 runs, 0 wicket(s)",174.0,8.0,177.0,3.0,completed,RCB,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29
1,"Mar 22, 2025","Eden Gardens, Kolkata",League,KKR,RCB,RCB,Bowl,1,KKR,RCB,9,Middle,22,0,1,2,Suyash Sharma,"Narine, Rahane",Narine,96,1,96/1,"22 runs, 0 wicket(s)",174.0,8.0,177.0,3.0,completed,RCB,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29
1,"Mar 22, 2025","Eden Gardens, Kolkata",League,KKR,RCB,RCB,Bowl,1,KKR,RCB,10,Middle,11,1,1,1,Rasikh Salam,"Narine, Rahane",Narine,107,2,107/2,"11 runs, 1 wicket(s)",174.0,8.0,177.0,3.0,completed,RCB,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29
1,"Mar 22, 2025","Eden Gardens, Kolkata",League,KKR,RCB,RCB,Bowl,1,KKR,RCB,11,Middle,3,1,0,0,Krunal Pandya,"Angkrish Raghuvanshi, Rahane, Venkatesh Iyer",Angkrish Raghuvanshi,110,3,110/3,"3 runs, 1 wicket(s)",174.0,8.0,177.0,3.0,completed,RCB,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29
1,"Mar 22, 2025","Eden Gardens, Kolkata",League,KKR,RCB,RCB,Bowl,1,KKR,RCB,12,Middle,14,0,3,0,Suyash Sharma,"Angkrish Raghuvanshi, Venkatesh Iyer",Angkrish Raghuvanshi,124,3,124/3,"14 runs, 0 wicket(s)",174.0,8.0,177.0,3.0,completed,RCB,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29
1,"Mar 22, 2025","Eden Gardens, Kolkata",League,KKR,RCB,RCB,Bowl,1,KKR,RCB,13,Middle,7,1,0,0,Krunal Pandya,"Angkrish Raghuvanshi, Rinku Singh, Venkatesh Iyer",Angkrish Raghuvanshi,131,4,131/4,"7 runs, 1 wicket(s)",174.0,8.0,177.0,3.0,completed,RCB,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29
1,"Mar 22, 2025","Eden Gardens, Kolkata",League,KKR,RCB,RCB,Bowl,1,KKR,RCB,14,Middle,10,0,1,0,Livingstone,"Angkrish Raghuvanshi, Rinku Singh",Rinku Singh,141,4,141/4,"10 runs, 0 wicket(s)",174.0,8.0,177.0,3.0,completed,RCB,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29
1,"Mar 22, 2025","Eden Gardens, Kolkata",League,KKR,RCB,RCB,Bowl,1,KKR,RCB,15,Middle,4,1,0,0,Krunal Pandya,"Angkrish Raghuvanshi, Rinku Singh",Angkrish Raghuvanshi,145,5,145/5,"4 runs, 1 wicket(s)",174.0,8.0,177.0,3.0,completed,RCB,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29
1,"Mar 22, 2025","Eden Gardens, Kolkata",League,KKR,RCB,RCB,Bowl,1,KKR,RCB,16,Death,6,1,1,0,Suyash Sharma,"Angkrish Raghuvanshi, Ramandeep Singh, Russell",Russell,151,6,151/6,"6 runs, 1 wicket(s)",174.0,8.0,177.0,3.0,completed,RCB,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29
1,"Mar 22, 2025","Eden Gardens, Kolkata",League,KKR,RCB,RCB,Bowl,1,KKR,RCB,17,Death,4,0,0,0,Livingstone,"Angkrish Raghuvanshi, Ramandeep Singh",Angkrish Raghuvanshi,155,6,155/6,"4 runs, 0 wicket(s)",174.0,8.0,177.0,3.0,completed,RCB,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29
1,"Mar 22, 2025","Eden Gardens, Kolkata",League,KKR,RCB,RCB,Bowl,1,KKR,RCB,18,Death,10,0,0,1,Hazlewood,"Angkrish Raghuvanshi, Ramandeep Singh",Angkrish Raghuvanshi,165,6,165/6,"10 runs, 0 wicket(s)",174.0,8.0,177.0,3.0,completed,RCB,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29
1,"Mar 22, 2025","Eden Gardens, Kolkata",League,KKR,RCB,RCB,Bowl,1,KKR,RCB,19,Death,4,1,0,0,Yash Dayal,"Angkrish Raghuvanshi, Harshit Rana, Ramandeep Singh",Ramandeep Singh,169,7,169/7,"4 runs, 1 wicket(s)",174.0,8.0,177.0,3.0,completed,RCB,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29
1,"Mar 22, 2025","Eden Gardens, Kolkata",League,KKR,RCB,RCB,Bowl,1,KKR,RCB,20,Death,5,1,1,0,Hazlewood,"Harshit Rana, Spencer Johnson",Harshit Rana,174,8,174/8,"5 runs, 1 wicket(s)",174.0,8.0,177.0,3.0,completed,RCB,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29
1,"Mar 22, 2025","Eden Gardens, Kolkata",League,KKR,RCB,RCB,Bowl,2,RCB,KKR,1,Powerplay,12,0,2,0,Vaibhav Arora,"Kohli, Phil Salt",Kohli,12,0,12/0,"12 runs, 0 wicket(s)",174.0,8.0,177.0,3.0,completed,RCB,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29
1,"Mar 22, 2025","Eden Gardens, Kolkata",League,KKR,RCB,RCB,Bowl,2,RCB,KKR,2,Powerplay,5,0,1,0,Spencer Johnson,Phil Salt,Phil Salt,17,0,17/0,"5 runs, 0 wicket(s)",174.0,8.0,177.0,3.0,completed,RCB,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29
1,"Mar 22, 2025","Eden Gardens, Kolkata",League,KKR,RCB,RCB,Bowl,2,RCB,KKR,3,Powerplay,20,0,3,1,Vaibhav Arora,"Kohli, Phil Salt",Phil Salt,37,0,37/0,"20 runs, 0 wicket(s)",174.0,8.0,177.0,3.0,completed,RCB,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29
1,"Mar 22, 2025","Eden Gardens, Kolkata",League,KKR,RCB,RCB,Bowl,2,RCB,KKR,4,Powerplay,21,0,3,1,Varun Chakaravarthy,"Kohli, Phil Salt",Phil Salt,58,0,58/0,"21 runs, 0 wicket(s)",174.0,8.0,177.0,3.0,completed,RCB,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29
